CATEGORY	ID	TITLE	DESCRIPTION
Kategorie 1	1	Jak spustím novou hru? Kdy se vydávají nová slova?	Nové slovo je vydáno vždy <b>v 18:00</b>. Zachováváme původní smysl hry Wordle, kdy všichni hádají totéž slovo. Díky tomu lze úspěšnost uhádnutí slov (počet kroků) porovnávat s kamarády a na sociálních sítích. Pokud by každý hádal jiná slova, vytratil by se ze hry soutěživý duch. <br/>Vybrali jsme 18:00 (a ne půlnoc) z toho důvodu aby si lidé mohli zahrát s rodinou při večeři a herní nadšenci nečekali do půlnoci. Každý den v 18h se zdvojnásobí návštěvnost, proto hrozí, že byste se kvůli nám nevyspali. ;-). Pochopitelně nemusíte hrát v 18h, slovo na vás počká do dalšího dne a můžete hádat cestou do práce.<br/>Pokud slovo nestihnete, nevadí, můžete hrát slova zpětně <a href="https://hadejslova.cz/history">zde</a>.
Kategorie 1	2	Proč musím čekat na nové slovo do druhého dne?	Držíme se oblíbeného principu původní hy Wordle. Věříme, že princip kdy všichni hádají totéž slovo je správný. Díky tomu si mohou lidé své výsledky porovnávat (nejen na sociálních sítích). <br/>Nicméně na základě častých podnětů zvažujeme 1x týdně vydat balík více slov, kde se s ostatními nebudou porovnávat jednotlivá slova, ale celý balík slov. 
Kategorie 1	3	Jaké slovní druhy se ve hře používají?	Hádané slovo může být podstatné jméno, přídavné jméno, zájmeno, číslovka (vždy v 1. pádu jednotného čísla) nebo sloveso v infinitivu. Slovo může být obecně známé křestní jméno, např. Petra, Lenka.
Kategorie 1	4	Proč mi hra hlásí, že slovo není ve slovníku?	Hra obsahuje kombinaci několika volně dostupných českých slovníků. Aktuálně je v databázi kolem 20tis slov. Může se snadno stát, že některé slovo ve slovníku chybí a hra vám ho nedovolí zadat. Nezoufejte, ničemu to nevadí - aplikace vždy vybírá k hádání jen ta slova co ve slovníku jsou.
Kategorie 1	5	Mohou se písmena ve slově opakovat?	Ano mohou. Pokud písmeno uhodnete na správné pozici, zobrazí se ve slově zeleně, ale na klávesnici žlutě. Pokud písmeno na pozici netrefíte, svítí žlutě (jen jednou).
Kategorie 1	6	Proč chybí některá diakritická písmenka jako Ň, Ť, ...?	Snažili jsme se co nejvíc zjednodušit zadávání textu, proto klávesnice obsahuje nejčastější diakritická písmenka (ta co jsou na počítačové klávesnici u číslic). Slova s "dalšími" diakritickými znaménky jako Ť, Ó, Ď, Ň se ve hře nehádají - nejsou mezi hádanými slovy.
Kategorie 1	7	Jak s písmenkem Ú (s čárkou)?	Písmenko ů je podporováno pouze s kroužkem. S čárkou není na klávesnici a není ani mezi hádanými slovy. Písmenko ú je pro aplikaci stejné písmenko jako třeba Ď, Ť, Ň.
Kategorie 1	8	Proč není mezi písmeny CH?	Rozumíme, že CH bývá v křížovkách jedno písmeno. Na počítači/mobilech se bohužel považuje za 2 písmena a stejně je tomu v této hře.
Kategorie 1	9	Proč není víc pokusů když máme diakritiku?	Aktuálně cca 10%-20% hráčů slovo neuhodne (viz statistiky <a href="https://hadejslova.cz/history">zde</a>). Myslíme, že reálná možnost prohry k hraní patří. Doporučujeme důkladně promyslet herní strategii. Na internetu je řada návodů jak dobře volit první slova aby se odkrylo co nejvíc nejčastějších písmen hned v úvodu.
Kategorie 1	10	Jak nasdílím výsledek hry později?	Stačí se v prohlížeči vrátit do hry nebo obnovit stránku. Vyskočí vám okno na sdílení a můžete svůj výsledek vysdílet s kamarády znovu.
